Data	VVT	DIR	MedX	MedY
41015.5	9.131013242	309.5769231	7.037910296	-5.817492716
41015.50694	8.14138927	309.6538462	6.268168408	-5.195409903
41015.51389	9.658399058	309.2692308	7.477341692	-6.113430591
41015.52083	9.699762652	309.3076923	7.505241475	-6.144651812
41015.52778	8.975899767	309.7307692	6.902973253	-5.737223797
41015.53472	8.913854377	309.3076923	6.897140887	-5.646790898
41015.54167	8.810445394	309.5	6.798356256	-5.604132426
41015.54861	9.689421753	309.2692308	7.50135885	-6.133066877
41015.55556	9.989307805	309.2692308	7.733524705	-6.322884315
41015.5625	9.079308751	309.1538462	7.040580477	-5.732719594
41015.56944	8.303741374	309.1923077	6.43564316	-5.247343893
41015.57639	9.193058632	309.1153846	7.132683074	-5.799755097
41015.58333	9.348172108	309.4230769	7.221255999	-5.936479054
41015.59028	8.934536174	309.3846154	6.905538555	-5.669168714
41015.59722	8.634650122	309.2307692	6.688442828	-5.460944539
41015.60417	8.126912013	309.3076923	6.288240166	-5.148274903
41015.61111	7.151765298	309.0384615	5.554943	-4.504481674
41015.61806	7.854946386	309.6538462	6.047632062	-5.012616998
41015.625	6.732958915	309.1923077	5.218240674	-4.254726786
41015.63194	7.484742225	309.2692308	5.794539525	-4.737581436
41015.63889	7.732923786	309.1538462	5.996521732	-4.882605595
41015.64583	8.120707474	308.9615385	6.314404192	-5.106289217
41015.65278	7.471299057	309.0769231	5.79997215	-4.709631903
41015.65972	7.423730925	309.1153846	5.759902338	-4.683514268
41015.66667	6.51373187	309.1538462	5.051095264	-4.112801904
41015.67361	6.251073052	309.1923077	4.844764994	-3.950210938
41015.68056	6.119743643	309.1153846	4.748168552	-3.860849344
41015.6875	7.488878584	309.1923077	5.804100593	-4.732411516
41015.69444	7.64502615	309.3461538	5.91212614	-4.84697734
41015.70139	8.779422698	309.1538462	6.80803283	-5.543370086
41015.70833	9.162035937	309.1923077	7.100846624	-5.789721905
41015.71528	9.792830737	309.2692308	7.581416041	-6.198521166
41015.72222	10.06169409	309.2307692	7.793838169	-6.3634719
41015.72917	10.13408038	309.1538462	7.858506682	-6.398707519
41015.73611	9.782489838	309.2692308	7.573410322	-6.191975737
41015.74306	10.44430733	309.2692308	8.085776348	-6.610883187
41015.75	10.33055745	309.2307692	8.00210106	-6.533513287
41015.75694	10.35123925	309.0384615	8.040049079	-6.519644528
41015.76389	10.35123925	309.1538462	8.026903254	-6.53582268
41015.77083	12.06782837	309.1538462	9.358038059	-7.619685383
41015.77778	11.12680662	309.1538462	8.628319582	-7.025519684
41015.78472	11.08544303	309.2307692	8.586839175	-7.010937181
41015.79167	12.05748748	309.1923077	9.344906506	-7.619430859
41015.79861	11.73691963	309.3076923	9.081502212	-7.435159709
41015.80556	10.48567093	309.3461538	8.108881247	-6.647957558
41015.8125	11.03373854	309.4615385	8.518613246	-7.012603974
41015.81944	10.6718071	309.5769231	8.225507843	-6.799153435
41015.82639	9.989307805	309.7307692	7.682341201	-6.38497487
41015.83333	8.944877072	309.5769231	6.894442136	-5.698902831
41015.84028	9.203399531	309.7307692	7.077933405	-5.882637303
41015.84722	7.806344164	309.8461538	5.993458456	-5.001746189
41015.85417	8.058662084	310.0384615	6.169814679	-5.184150982
41015.86111	7.898378159	309.9230769	6.057319398	-5.068851867
41015.86806	8.748400003	309.7307692	6.728013102	-5.59181029
41015.875	7.937673573	310.0769231	6.073755188	-5.110397212
41015.88194	7.247935653	310.0384615	5.549112163	-4.662609294
41015.88889	5.303846763	310	4.06298234	-3.409246983
41015.89583	5.513767	310	4.223790571	-3.54418111
41015.90278	4.843676787	309.8461538	3.718818308	-3.103481143
41015.90972	5.015335699	310.4615385	3.815876821	-3.254639192
41015.91667	4.682358773	310.5	3.560493544	-3.040948766
41015.92361	4.693733761	311	3.542405836	-3.079366413
41015.93056	3.897484588	311.1538462	2.934592559	-2.56486893
41015.9375	3.514871349	311.1538462	2.646505733	-2.313077605
41015.94444	6.347243407	309.8076923	4.875937012	-4.063586731
41015.95139	7.83219641	309.0384615	6.083449723	-4.93304572
41015.95833	5.787800806	309.1538462	4.488169582	-3.654445509
41015.96528	6.751572532	309.1538462	5.235529605	-4.262975652
41015.97222	7.664673856	309.4615385	5.917522154	-4.871360886
41015.97917	7.505424022	309.5384615	5.788163662	-4.777923312
41015.98611	7.285162887	309.6538462	5.608947851	-4.649010894
41015.99306	6.692629412	309.8076923	5.141261705	-4.284707286
41016	6.618174943	309.7692308	5.08690906	-4.233626791
41016.00694	6.301743454	309.4615385	4.865269833	-4.005136703
41016.01389	3.600700805	308.8076923	2.805859902	-2.256589572
41016.02083	2.342213476	309.1153846	1.817269647	-1.477665388
41016.02778	2.053702412	303.1923077	1.718615849	-1.124301188
41016.03472	1.900657117	303.6538462	1.582108504	-1.053294905
41016.04167	1.946157069	306.0384615	1.573705895	-1.14497908
41016.04861	2.932678772	311.9615385	2.180721847	-1.960881691
41016.05556	3.461098677	309.8076923	2.658807621	-2.215839815
41016.0625	4.340075037	309.0769231	3.369201815	-2.735823543
41016.06944	4.453824919	308.5384615	3.483737753	-2.774910391
41016.07639	4.547927094	307.1153846	3.626616807	-2.744319841
41016.08333	2.12815688	310.5384615	1.617335028	-1.383213329
41016.09028	3.283235226	308.7692308	2.559854304	-2.055913298
41016.09722	3.011269599	309.0384615	2.338923368	-1.896623863
41016.10417	2.233634043	310.8076923	1.690653965	-1.4597295
41016.11111	2.769292578	311.3846154	2.077768687	-1.8308082
41016.11806	2.704144918	312.1923077	2.003486833	-1.816160854
41016.125	3.540723595	311.6153846	2.647115035	-2.351490074
41016.13194	3.404223737	310.4615385	2.590075566	-2.209128292
41016.13889	6.563368182	309.7307692	5.047600373	-4.195179659
41016.14583	6.624379483	309.5	5.111534058	-4.213623512
41016.15278	6.367925203	309.2307692	4.932626459	-4.027364847
41016.15972	6.95425414	309.2307692	5.386799763	-4.398185871
41016.16667	5.07324473	309	3.942651653	-3.192696357
41016.17361	5.549960144	309.3461538	4.291949275	-3.518697062
41016.18056	3.560371302	309.1538462	2.760901889	-2.248035713
41016.1875	4.345245486	308.7307692	3.38970221	-2.718653575
41016.19444	3.461098677	309.3461538	2.676570565	-2.194350488
41016.20139	2.294645344	309.7692308	1.763726751	-1.467877789
41016.20833	2.50766785	310.9230769	1.894767996	-1.642635774
41016.21528	3.671018914	311.3461538	2.755952232	-2.425099413
41016.22222	2.531451916	311.4230769	1.898195684	-1.674843857
41016.22917	2.148838677	310.0384615	1.645178353	-1.382351564
41016.23611	2.119884162	310.8076923	1.604555846	-1.385391423
41016.24306	2.969906006	311.8846154	2.211067819	-1.98280629
41016.25	2.550065533	311.1153846	1.921185844	-1.676865879
41016.25694	1.055805721	309.3846154	0.816036443	-0.669933016
41016.26389	2.423906573	310.1153846	1.853678718	-1.561793292
41016.27083	4.165313855	309.7307692	3.203361321	-2.662389107
41016.27778	3.015405959	309.8846154	2.313833651	-1.933609818
41016.28472	3.013337779	309.8846154	2.31224666	-1.932283611
41016.29167	3.166383075	310.2692308	2.41599956	-2.046687055
41016.29861	4.130154801	310	3.163882134	-2.654812332
41016.30556	4.231495604	309.7307692	3.254258819	-2.704691218
41016.3125	1.836543547	308.0769231	1.445696741	-1.132631066
41016.31944	2.008202459	304.5384615	1.654248312	-1.138569119
41016.32639	2.045429693	303.5	1.705654821	-1.128948299
41016.33333	2.702076739	303.4615385	2.254224106	-1.489863208
41016.34028	10.36	291.89	9.613057866	-3.862475691
41016.34722	7.46	291.89	6.922143985	-2.781280758
41016.35417	7.16	307.6	5.672793846	-4.368639374
41016.36111	6.49	302.69	5.462016832	-3.505206432
41016.36806	5.67	295	5.138765152	-2.396245544
41016.375	5.74	299.89	4.976486658	-2.860451109
41016.38194	6.11	311.39	4.583883786	-4.03981552
41016.38889	6.93	311.39	5.199069499	-4.581983888
41016.39583	5.96	330.3	2.952933664	-5.177043826
41016.40278	5.81	286.6	5.567854158	-1.659849415
41016.40972	7.16	304.39	5.908518572	-4.044132575
41016.41667	7.16	281	7.028450633	-1.366192407
